time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
20,1.28074021364831,-1.33017920727453,-1.5826969442972,-0.492058593515664,0.524414933804882,-0.287610838324514,0.0535022717758432,-0.134115354852149,0.144163175494702,-0.070755067028067,0.0388186836700913,-0.145478634487253,-0.615868623523443,1.47497740413544,-1.56343925081609,0.743040093863917,-0.408230322635518,1.62227044913632
21,1.28301142803367,-1.33629534895308,-1.57613219202923,-0.495211247313985,0.526308724749156,-0.294237165711523,-0.0256006205592093,-0.0097033573295027,0.0038907020165458,0.017479522086358,0.024697348032431,-0.0134224578915565,-2.66082324749262,-1.00875380153722,0.404670722314142,1.81586938886372,2.56699673728069,-1.39426398017672
22,1.26721266350202,-1.34234572822781,-1.57365349692311,-0.484653563526732,0.541564637667879,-0.302308957998762,-0.289241909873378,-0.111933331463814,0.0468129162477163,0.189210194583481,0.279562880874298,-0.144012332781163,-2.59370372690498,-1.04604001722434,0.471269092461514,1.55528905288634,2.51590910119287,-1.16075360466279
23,1.22560151315477,-1.35892347761847,-1.56635728603752,-0.458829462493514,0.581872301382499,-0.321735021505638,-0.536373040775862,-0.220120054660048,0.10148245012665,0.316132190430553,0.520638776750516,-0.234894228155803,-0.737839827268993,-0.475748696543571,0.335835789022576,0.0332602505855039,0.74182238480619,0.0490984824171175
24,1.17289299733335,-1.38144206311742,-1.55539487066596,-0.429549438419425,0.633148505269597,-0.343164807723721,-0.517568456217022,-0.230317112568303,0.117772577094983,0.271351504191552,0.50453272422888,-0.195510110568037,0.194387784424266,-0.103536952238373,0.163215416028248,-0.395870334713222,-0.170834354968841,0.343607262458745
25,1.12212552598703,-1.40499304907962,-1.54279929870887,-0.404249386787688,0.682720419883541,-0.361141305756818,-0.497631167729556,-0.240704661304406,0.134163872673768,0.235917972670138,0.486669074064265,-0.165298715145708,0.203430609515193,-0.103714525906282,0.16469942383962,-0.319259287627549,-0.185108943630219,0.266444115923747
26,1.07338957142573,-1.42957914661532,-1.52855615087883,-0.382155595228902,0.730444804389831,-0.376442396775643,-0.477007554397396,-0.250980816321068,0.150732330534643,0.206824887143621,0.467675897507335,-0.141650355876866,0.208302072856908,-0.10156046041937,0.166687365606558,-0.266911626220764,-0.193741018881893,0.210526378586776
27,1.02673400142911,-1.45517948707964,-1.5126456909219,-0.362739970703201,0.776234914334749,-0.389631059243731,-0.456082174805608,-0.260968016475692,0.16751468684671,0.182085822597217,0.448058757318588,-0.122810100517631,0.209645099023353,-0.0981025324718887,0.168953570989325,-0.230802335531133,-0.197849579987835,0.169103239445016
28,0.982172463694446,-1.48175998667695,-1.49504526337603,-0.345638536117274,0.82004927912383,-0.40112390368536,-0.435174878219827,-0.27057426767008,0.184535601595924,0.160357129703121,0.428220412220737,-0.107566017636166,0.208103023958767,-0.0940513356505745,0.171456216052163,-0.205800196147729,-0.198382001066866,0.137817498891218
29,0.939689784919863,-1.50928051135724,-1.47572977365298,-0.330599427883655,0.861882220481223,-0.411235315200422,-0.414542884510628,-0.279767011744573,0.201820690288331,0.140710900763687,0.408476319278872,-0.0950612914412651,0.204280799494832,-0.0899032521252396,0.174244455675612,-0.188547034053882,-0.196143095512219,0.113779348506697
