tau1,tau2,tau3,tau4,tau5,tau6
-0.63689399983778,5.85810272326379,37.3848038306103,1.29587768512792,-0.131857244631714,-0.000409026291258903
-0.747293537046642,3.73064091921161,37.3294731381784,1.27821664432173,-0.126869837701398,-0.00275315382180062
-0.873806954644085,1.67404665193739,37.2707610150954,1.26378337558829,-0.122386820793125,-0.00509328305365351
-1.01613821070941,-0.299956266949298,37.2098277784503,1.25271351225257,-0.118367194179579,-0.00742314607350314
-1.17177451384257,-2.17656204536609,37.1482376401718,1.24519611108466,-0.114746387969371,-0.00973635184118336
-1.33466764255449,-3.93738365004191,37.0880891496647,1.24149552221764,-0.11143982348019,-0.0120263157329686
-1.49371527716089,-5.56010210497194,37.0321157502099,1.24194507319048,-0.108349844781321,-0.0142861787375992
-1.63149945684909,-7.01842535091987,36.983714176365,1.24689165427863,-0.105375351837189,-0.0165087490631959
-1.72417243836004,-8.28257548120131,36.946852119435,1.25657935220629,-0.102422394776241,-0.0186865284088309
-1.74370162915916,-9.32057378130081,36.9258121240892,1.27098348908554,-0.0994131821385583,-0.02081190550106
-1.66339227005823,-10.100566838894,36.9247516932567,1.28964041195372,-0.0962909812668705,-0.022877574550265
-1.46619192031389,-10.5942086105332,36.9471062577895,1.31154828934907,-0.0930196002752884,-0.0248771303984074
-1.15299293200119,-10.7806191676848,36.9949328240144,1.33521511091899,-0.0895782231964606,-0.0268056265455362
-0.746592099298547,-10.649876082327,37.0683665198758,1.35888287211328,-0.0859542232307551,-0.0286597785873482
-0.288156013429149,-10.2048131635593,37.1653876763724,1.3808739110438,-0.082136983320646,-0.0304376034655232
13.2238895300416,-9.93339159747498,37.6867265021282,1.49745581310414,-0.0410624996597851,0.0235913014168993
13.0620022364115,-7.18110041975924,37.9310802402094,1.46133572072678,-0.0345134163806365,0.0212962632844321
12.8794921222528,-6.232083431441,38.0119957539899,1.4472468945787,-0.0322263090635004,0.0204951789111822
-13.472050585376,-7.22363934121212,37.8023600288026,1.22810220375349,-0.141881162170712,-0.0316333999459503
-12.5070224725786,-8.37847433645024,37.6638761010705,1.27233374205541,-0.134614494240435,-0.0315089995843143
