"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
32,-0.502,-0.9320000000000001,1.344,1.17,1.57,1.743,-0.7572975988911623,0.2170868445106771,0.3284235125602433,3.140457329607194,0.0111744125672357,2.467378176089227,0.3307503274440167,0.9437015853152237,-0.001312303277497613,0.005460460540755695
33,-0.607,-0.89,1.284,1.197,1.571,1.75,-0.7494807290768898,0.3086724295634201,0.3232109177234952,3.137790545130741,0.0198437838353428,2.35535331253554,0.3830350014036,0.9236785878754464,-0.002044778007811727,0.009893072478456106
34,-0.666,-0.87,1.23,1.22,1.572,1.747,-0.7439588508203901,0.3634654453034947,0.3321422422680949,3.138794235510881,0.008850166634471506,2.299382136209807,0.4087593503363881,0.9126304041450911,-0.0005318729899589159,0.004610428793964833
35,-0.768,-0.8139999999999999,1.095,1.279,1.571,1.751,-0.7335034508255603,0.4665459859899854,0.3497613431911763,-3.139857930137261,-0.01065800177861052,2.193378636480118,-0.4565333675714819,-0.8896899089226179,-0.001661230328140548,0.005137175187094534
36,-0.746,-0.842,1.094,1.307,1.571,1.749,-0.7375996609950404,0.4447621248094718,0.3772530281699705,-3.139701966327088,-0.01164561161892996,2.217376769840432,-0.4458232614073801,-0.895101570376267,-0.001749823804710258,0.005633508203600765
37,-0.664,-0.924,1.058,1.423,1.571,1.749,-0.7513495111496032,0.3670439979111551,0.475122164947114,-3.139347385701877,-0.0136139339184254,2.299372291684546,-0.4087571936801198,-0.9126170951398785,-0.001757955306933428,0.006671121820321394
38,-0.619,-0.953,1.016,1.49,1.571,1.751,-0.7590606043627649,0.3271456250712766,0.5255620902480864,-3.138603066026135,-0.01754462906553914,2.34236094172469,-0.3890370094878002,-0.9211791463431803,-0.002035982264226293,0.008662584340636855
39,-0.663,-0.896,0.966,1.365,1.55,1.745,-0.778916204430857,0.3844163875366162,0.4875007274689813,-3.097449197935915,-0.1301262297087953,2.302926601914487,-0.4048803160502256,-0.911790396254196,-0.006350240611976441,0.06833650135802789
40,-0.706,-0.831,0.905,1.233,1.523,1.746,-0.8000938454171447,0.4461542512652735,0.447362702669194,-3.047636641383928,-0.2513539661872205,2.254851956510627,-0.4198162045748585,-0.8977230203926554,-0.01162700009710143,0.1330884889920635
41,-0.674,-0.852,0.992,1.141,1.52,1.733,-0.8064743184130035,0.4139000773077615,0.4162568735424341,-3.043517541695265,-0.2777039777527166,2.2990858787043,-0.3982910138958191,-0.9054817947398373,-0.01222482282629238,0.1460052785053666
42,-0.639,-0.88,1.056,1.13,1.528,1.725,-0.8039060029093646,0.3742881480081608,0.4090856730047594,-3.057787932190613,-0.2550203182598789,2.343338896339894,-0.3802124650161487,-0.9151882532873041,-0.0110904723791446,0.1332139028543368
43,-0.537,-0.9370000000000001,1.194,1.116,1.548,1.714,-0.7963012327463314,0.2684784479748635,0.3912851584496114,-3.090460506267376,-0.1924945352900954,2.458713323357206,-0.3308705664359056,-0.9384286274609352,-0.008191440616018527,0.09904180798431715
44,-0.41,-0.97,1.298,1.12,1.565,1.719,-0.787980569670008,0.1520173083359099,0.3715693787122087,-3.117640067407871,-0.1205878252184563,2.582299296444854,-0.2748011457463437,-0.9595368644992079,-0.005140955979777481,0.06121198032362177
45,-0.366,-0.974,1.322,1.126,1.568,1.725,-0.7852031065261553,0.1142511317648013,0.3649252117846399,-3.123917410796072,-0.09521478021414793,2.620682292970758,-0.2568121995441504,-0.9652486698169509,-0.0037249981175399,0.04825581800080355
46,-0.218,-0.968,1.367,1.155,1.571,1.749,-0.7763106987242222,-0.006225050914094307,0.3447415819904747,-3.138815478270872,-0.01656641408118496,2.745364265404548,-0.1968025446528266,-0.980407170801293,-0.0002689078874193182,0.008394375981834557
47,-0.221,-0.967,1.37,1.156,1.571,1.75,-0.7753679341118185,-0.004111315779746712,0.3428788712352092,-3.139690321157335,-0.01164371511006116,2.741376703836,-0.198766266631698,-0.9800291694389862,-0.0002250636898484375,0.005894713255373783
48,-0.371,-0.961,1.377,1.155,1.57,1.743,-0.7660585986584434,0.1112053459353648,0.3353922569709954,-3.140843004997935,0.0003371144315999984,2.598389025648157,0.2682749137312506,0.9633423076755827,-0.0004063037881729309,6.182236408808307e-05
49,-0.505,-0.931,1.343,1.17,1.57,1.743,-0.7570734667179715,0.2195957622859792,0.3280577778458808,3.140457329607194,0.01117441256723559,2.464378176089227,0.3321655071971089,0.9432043983460203,-0.001320492488896317,0.00545848594356061
50,-0.595,-0.894,1.292,1.193,1.571,1.75,-0.7508193738125817,0.2980922650707678,0.3226394879072969,3.137790545130741,0.01984378383534267,2.367353312535541,0.3774860685193752,0.9259601579299297,-0.001985383123197216,0.009905162998120659
51,-0.658,-0.873,1.237,1.217,1.572,1.747,-0.744996438941639,0.3560751939296159,0.3313073835487516,3.138618927022938,0.009834681549985598,2.307380498427189,0.4051043105020138,0.9142560401295704,-0.0006327145352731173,0.005098075284072677
52,-0.765,-0.8149999999999999,1.099,1.277,1.571,1.75,-0.7341477719501177,0.4636214357135369,0.3486528126834968,-3.140046853887566,-0.009675746894645027,2.197380504308902,-0.454754201107669,-0.8906035113292183,-0.001511730405677581,0.004660134565989461
53,-0.752,-0.834,1.095,1.299,1.571,1.75,-0.7365397258655423,0.4506967156153386,0.3691116126107568,-3.139868589392359,-0.01065973117171759,2.210378691793042,-0.4489546022401735,-0.8935382559646015,-0.001622655153559988,0.00514948981537581
54,-0.665,-0.923,1.06,1.42,1.571,1.749,-0.7511844814351265,0.367953867384762,0.4730522360851949,-3.139347385701877,-0.01361393391842553,2.298372291684546,-0.4092134511140286,-0.9124126024744199,-0.001761290647960212,0.006670242008814408
55,-0.628,-0.949,1.027,1.478,1.571,1.75,-0.756922888027869,0.3345717529455813,0.5159334255580006,-3.139155490559853,-0.01459566457992116,2.334369687217925,-0.3927232635079154,-0.9196269331131142,-0.001745502399902327,0.007189952296945188
