"time","x_ik","y_ik","z_ik","roll_ik","pitch_ik","yaw_ik","q1_ik","q2_ik","q3_ik","q4_ik","q5_ik","q6_ik"
24,-0.8067160209999999,0.416371303,0.416418703,-3.042882805,-0.279577227,2.295954514,-0.6760000000615672,-3.040854204079269,-0.9880000026806,-0.9753311006691966,1.519999999933546,1.734000000322196
25,-0.80028026,0.322830228,0.400164474,-3.074446428,-0.225429073,2.399620695,-0.5910000029309218,-2.967404507240077,-1.129000017230468,-0.8487807829831977,1.537999999974258,1.717999997207574
26,-0.796581699,0.273303242,0.391937686,-3.089027661,-0.195320131,2.453635201,-0.5420000002569666,-2.93436860007922,-1.189000000863906,-0.7898167064031172,1.547000000548651,1.714000000201442
27,-0.7868683440000001,0.135555264,0.368555097,-3.119944016,-0.109793209,2.598467688,-0.3910000000870867,-2.85767808476359,-1.309000000288366,-0.6575072220755547,1.566000000035412,1.721999999959443
28,-0.777158063,0.002627205,0.345965195,-3.138780959,-0.022654289,2.73634341,-0.2289999995865627,-2.801822539385405,-1.364999999680179,-0.5683627678971661,1.572000000176174,1.747000000682493
29,-0.776022272,-0.010160061,0.343056863,-3.139678678,-0.011641807,2.748376638,-0.2130000000412709,-2.79599498428544,-1.367999999323571,-0.5601903235932795,1.571000000113557,1.750999999834526
30,-0.769296404,0.07074027099999999,0.33770903,-3.140150383,-0.003600846,2.648387895,-0.3190000003371707,-2.784689002927106,-1.38000000010461,-0.551496303831551,1.570000000419207,1.744999999906537
31,-0.759994601,0.18395124,0.329955939,3.140979659,0.008219405000000001,2.508383195,-0.4620000030397028,-2.781478900812001,-1.359000011161348,-0.5637063954331709,1.569999999875767,1.741999996683788
32,-0.757297599,0.217086845,0.328423513,3.14045733,0.011174413,2.467378176,-0.5020000005597934,-2.784627032717049,-1.343999998979662,-0.5725582751234475,1.569999999544107,1.742999999528686
33,-0.749480729,0.30867243,0.323210918,3.137790545,0.019843784,2.355353313,-0.607000001446468,-2.799317730297551,-1.284000002993314,-0.6088675736922552,1.571000000085178,1.749999998087848
34,-0.743958851,0.363465445,0.332142242,3.138794236,0.008850167000000001,2.299382136,-0.6659999996669672,-2.830463744121987,-1.230000000197162,-0.6427215625853016,1.571999999451609,1.747000000542081
35,-0.733503451,0.466545986,0.349761343,-3.13985793,-0.010658002,2.193378636,-0.7680000035675,-2.902774571795051,-1.095000025656664,-0.7254107099830707,1.57100000018962,1.750999996908278
36,-0.737599661,0.444762125,0.377253028,-3.139701966,-0.011645612,2.21737677,-0.7460000001978688,-2.931727158930313,-1.093999999975265,-0.6984581487070844,1.570999999741423,1.748999999641782
37,-0.751349511,0.367043998,0.475122165,-3.139347386,-0.013613934,2.299372292,-0.6640000032665568,-3.048038688346147,-1.058000044196323,-0.6201465746730938,1.571000000248089,1.74899999641756
38,-0.759060604,0.327145625,0.52556209,-3.138603066,-0.017544629,2.342360942,-0.6190000002138231,-3.117113072195727,-1.01600000191586,-0.5970722330084154,1.570999999953638,1.750999999511206
39,-0.7789162039999999,0.384416388,0.487500727,-3.097449198,-0.13012623,2.302926602,-0.6630000007455538,-3.107878336659378,-0.9660000014156219,-0.7743069693640521,1.550000000016671,1.744999999164672
40,-0.800093845,0.446154251,0.447362703,-3.047636641,-0.251353966,2.254851957,-0.7060000001604507,-3.101229698157129,-0.9050000013646894,-0.9699556075122531,1.52299999943995,1.745999999376406
41,-0.806474318,0.413900077,0.416256874,-3.043517542,-0.277703978,2.299085879,-0.6739999999916302,-3.039032870212165,-0.9920000013578543,-0.9711524357896382,1.520000000258175,1.732999999709959
42,-0.803906003,0.374288148,0.409085673,-3.057787932,-0.255020318,2.343338896,-0.6389999999500217,-3.005945954589709,-1.055999999717735,-0.9152393526617476,1.527999999874094,1.725000000388574
43,-0.796301233,0.268478448,0.391285158,-3.090460506,-0.192494535,2.458713323,-0.5370000053413049,-2.93162095079825,-1.194000026474124,-0.7845643303770813,1.547999999498187,1.713999994934949
44,-0.78798057,0.152017308,0.371569379,-3.117640067,-0.120587825,2.582299296,-0.410000007127721,-2.866076350042293,-1.298000027493244,-0.6711089307325844,1.565000001352936,1.718999992904805
45,-0.785203107,0.114251132,0.364925212,-3.123917411,-0.09521478,2.620682293,-0.3660000000408288,-2.847395786963943,-1.321999998399116,-0.6397895215735145,1.568000000162172,1.724999999933323
46,-0.776310699,-0.006225051,0.344741582,-3.138815478,-0.016566414,2.745364265,-0.2180000051503668,-2.798937450914155,-1.367000019772006,-0.563247836728236,1.571000002024813,1.748999995156684
47,-0.775367934,-0.004111316,0.342878871,-3.139690321,-0.011643715,2.741376704,-0.2209999997918149,-2.795110181340514,-1.370000000566586,-0.5590751251815654,1.570999999825957,1.750000000044267
48,-0.766058599,0.111205346,0.335392257,-3.140843005,0.000337114,2.598389026,-0.3710000013770809,-2.78251485562455,-1.377000009343135,-0.55267044264195,1.570000000028967,1.742999998271523
49,-0.757073467,0.219595762,0.328057778,3.14045733,0.011174413,2.464378176,-0.5050000020026787,-2.784570599505213,-1.343000008375587,-0.5736146989375756,1.569999999411831,1.742999998084527
50,-0.750819374,0.298092265,0.322639488,3.137790545,0.019843784,2.367353313,-0.5950000000620985,-2.795750254143069,-1.29200000049301,-0.6044350523542326,1.571000000091787,1.749999999472607
51,-0.744996439,0.356075194,0.331307384,3.138618927,0.009834682000000001,2.307380498,-0.6580000000626344,-2.826827472448783,-1.236999999429238,-0.6383578348535475,1.571999999943004,1.74700000036378
52,-0.734147772,0.463621436,0.348652813,-3.140046854,-0.009675747,2.197380504,-0.7650000051959771,-2.899964554407506,-1.099000033511094,-0.7232207193611551,1.571000000514002,1.749999995109655
53,-0.736539726,0.450696716,0.369111613,-3.139868589,-0.010659731,2.210378692,-0.7520000002819258,-2.92277458402648,-1.094999998627546,-0.7054107244266293,1.570999999578038,1.749999999511463
54,-0.751184481,0.367953867,0.473052236,-3.139347386,-0.013613934,2.298372292,-0.6650000049921634,-3.045131537561541,-1.060000071990915,-0.621053697668168,1.571000000213469,1.748999994692791
55,-0.756922888,0.334571753,0.515933426,-3.139155491,-0.014595665,2.334369687,-0.6280000000053134,-3.102612978950337,-1.026999999454832,-0.5975723291092784,1.571000000511111,1.750000000211521
