"time","x_ik","y_ik","z_ik","rx_ik","ry_ik","rz_ik","q1_ik","q2_ik","q3_ik","q4_ik","q5_ik","q6_ik"
28,-0.777158063,0.002627205,0.345965195,-3.138780959,-0.022654289,2.73634341,-0.3668195174904422,-2.303052380842758,-1.866378509911842,0.7447325512032853,-0.5071400897871368,2.519282211419594
29,-0.776022272,-0.010160061,0.343056863,-3.139678678,-0.011641807,2.748376638,-0.3494216490818242,-2.296299001760788,-1.870432768430607,0.7362384826434965,-0.5253770059581105,2.529226989795251
30,-0.769296404,0.07074027099999999,0.33770903,-3.140150383,-0.003600846,2.648387895,-0.4629762227883444,-2.28815540603174,-1.886513428834876,0.8319318734186961,-0.4313199998256294,2.435838340024205
31,-0.759994601,0.18395124,0.329955939,3.140979659,0.008219405000000001,2.508383195,-0.3356117160756772,-2.753077788805562,-1.456597716183578,-2.074468375725241,-2.554156254355837,2.21251322281947
32,-0.757297599,0.217086845,0.328423513,3.14045733,0.011174413,2.467378176,-0.374336247360022,-2.753005437098452,-1.461327409372208,-2.116656431559473,-2.581839366658816,2.16038378067825
33,-0.749480729,0.30867243,0.323210918,3.137790545,0.019843784,2.355353313,-0.4782866047563192,-2.751768750976927,-1.467075552272314,-2.263230892061328,-2.648816011417253,1.990391677640202
34,-0.743958851,0.363465445,0.332142242,3.138794236,0.008850167000000001,2.299382136,-0.5380529510613957,-2.768407139571956,-1.453171641539843,-2.352477026380779,-2.681971972577015,1.892996848647181
35,-0.733503451,0.466545986,0.349761343,-3.13985793,-0.010658002,2.193378636,-0.9044681215891468,-2.4532580775389,-1.847494813542581,2.241621168803595,-0.2180067628651579,1.05430637774107
36,-0.737599661,0.444762125,0.377253028,-3.139701966,-0.011645612,2.21737677,-0.8840049284640998,-2.476003714160845,-1.850140073281283,2.177023004661242,-0.212479894454677,1.150772018072352
37,-0.751349511,0.367043998,0.475122165,-3.139347386,-0.013613934,2.299372292,-0.8064445213842418,-2.571213152950171,-1.826127250717311,1.897247423057236,-0.214143313153273,1.523505008226101
38,-0.759060604,0.327145625,0.52556209,-3.138603066,-0.017544629,2.342360942,-0.7628188151636089,-2.631537116503713,-1.793129511066874,1.749095633049676,-0.2272740751302735,1.708207572191081
39,-0.7789162039999999,0.384416388,0.487500727,-3.097449198,-0.13012623,2.302926602,-0.7968809530051015,-2.611174624548133,-1.748339993055164,1.876271162770391,-0.2119985619024201,1.444682962059079
40,-0.800093845,0.446154251,0.447362703,-3.047636641,-0.251353966,2.254851957,-0.828938377348965,-2.604464261455981,-1.683993311593836,2.016442079360925,-0.2115067144095145,1.151979123504566
41,-0.806474318,0.413900077,0.416256874,-3.043517542,-0.277703978,2.299085879,-0.7982760723435293,-2.536789533999287,-1.710076111126121,1.848442017298943,-0.199414410542182,1.280397913323776
42,-0.803906003,0.374288148,0.409085673,-3.057787932,-0.255020318,2.343338896,-0.7673969510206833,-2.498196082595542,-1.735798167066863,1.669863638797188,-0.1968554019009163,1.473633005512057
43,-0.796301233,0.268478448,0.391285158,-3.090460506,-0.192494535,2.458713323,-0.674848025830975,-2.426438895337863,-1.770862621038349,1.209669172503598,-0.2313247026029158,1.963727227812071
44,-0.78798057,0.152017308,0.371569379,-3.117640067,-0.120587825,2.582299296,-0.5533290092765177,-2.370766284025738,-1.812589307147021,0.9123363961837778,-0.3278507907333912,2.308248635266024
45,-0.785203107,0.114251132,0.364925212,-3.123917411,-0.09521478,2.620682293,-0.5093326131419739,-2.352514886408404,-1.829164441189268,0.8585292271902921,-0.3693066401963186,2.377116379921512
46,-0.776310699,-0.006225051,0.344741582,-3.138815478,-0.016566414,2.745364265,-0.3548538130878577,-2.299565520251502,-1.869003964736249,0.7389476028249928,-0.5194135503007702,2.526437669059735
47,-0.775367934,-0.004111316,0.342878871,-3.139690321,-0.011643715,2.741376704,-0.3581666966994501,-2.295784113235638,-1.872138699890993,0.7422010792588715,-0.5178130471635803,2.524110439284727
48,-0.766058599,0.111205346,0.335392257,-3.140843005,0.000337114,2.598389026,-0.5175036044488261,-2.286470774634148,-1.890434124640849,0.8927510716351991,-0.3872847264057055,2.37270180101088
49,-0.757073467,0.219595762,0.328057778,3.14045733,0.011174413,2.464378176,-0.3772560208898659,-2.752637634997789,-1.461819083972261,-2.120120190458419,-2.583864193102223,2.156470420147623
50,-0.750819374,0.298092265,0.322639488,3.137790545,0.019843784,2.367353313,-0.4663480982403947,-2.750537136506398,-1.467154630654447,-2.246260619076673,-2.641499306181276,2.010358645911837
51,-0.744996439,0.356075194,0.331307384,3.138618927,0.009834682000000001,2.307380498,-0.5299618347911136,-2.766981418298266,-1.454145573335234,-2.339160906703141,-2.677698123497585,1.907771104416072
52,-0.734147772,0.463621436,0.348652813,-3.140046854,-0.009675747,2.197380504,-0.9016799458360945,-2.448553985222738,-1.849778905766484,2.226075816474738,-0.2167514287202368,1.068993696726182
53,-0.736539726,0.450696716,0.369111613,-3.139868589,-0.010659731,2.210378692,-0.8895778055750846,-2.468645105215523,-1.850034056023264,2.194141591973228,-0.2141800667292957,1.124670384833159
54,-0.751184481,0.367953867,0.473052236,-3.139347386,-0.013613934,2.298372292,-0.8074040915956936,-2.568465158694254,-1.827305947218028,1.899896953808408,-0.2139514996821378,1.519025060933101
55,-0.756922888,0.334571753,0.515933426,-3.139155491,-0.014595665,2.334369687,-0.7717382164689581,-2.619038426065125,-1.801637124898207,1.776661975996326,-0.2239973670505709,1.675931069390311
