"time","theta","y","x"
0.328,-3.003185307179634,2.987625441642646,-0.1770853478059805
0.33,-2.983185307179634,2.983486465624511,-0.2067984573289048
0.332,-2.963185307179634,2.978754094800215,-0.236422850426171
0.334,-2.943185307179634,2.973430222054991,-0.2659466777355267
0.336,-2.923185307179634,2.967516976866952,-0.295358130119694
0.338,-2.903185307179634,2.961016724455332,-0.3246454433898666
0.34,-2.883185307179634,2.953932064834427,-0.3537969030112287
0.342,-2.863185307179634,2.946265831773623,-0.3828008487886129
0.344,-2.843185307179634,2.938021091663931,-0.4116456795304223
0.346,-2.823185307179634,2.929201142291465,-0.4403198576889527
0.348,-2.803185307179634,2.919809511518377,-0.468811913975258
0.35,-2.783185307179634,2.909849955871756,-0.4971104519467128
0.352,-2.763185307179634,2.899326459041069,-0.5252041525654372
0.354,-2.743185307179634,2.888243230284736,-0.5530817787257614
0.356,-2.723185307179634,2.876604702746485,-0.580732179748918
0.358,-2.703185307179634,2.864415531682154,-0.6081442958431649
0.36,-2.683185307179634,2.851680592597648,-0.6353071625275544
0.362,-2.663185307179634,2.838404979298804,-0.6622099150175794
0.364,-2.643185307179634,2.824594001853935,-0.6888417925709426
0.366,-2.623185307179634,2.810253184469876,-0.7151921427917095
0.368,-2.603185307179634,2.795388263282372,-0.7412504258911251
0.37,-2.583185307179634,2.780005184061701,-0.7670062189033889
0.372,-2.563185307179634,2.764110099834448,-0.792449219854702
0.374,-2.543185307179634,2.74770936842237,-0.8175692518839192
0.376,-2.523185307179634,2.730809549899361,-0.8423562673131582
0.378,-2.503185307179634,2.713417403967499,-0.8668003516667363
0.38,-2.483185307179633,2.695539887253267,-0.8908917276368291
0.382,-2.463185307179633,2.677184150524987,-0.9146207589942624
0.384,-2.443185307179633,2.658357535832609,-0.9379779544428762
0.386,-2.423185307179633,2.639067573570993,-0.9609539714159163
0.388,-2.403185307179633,2.619321979467847,-0.9835396198129361
0.39,-2.383185307179633,2.599128651497541,-1.005725865675715
0.392,-2.363185307179633,2.578495666722023,-1.02750383480172
0.394,-2.343185307179633,2.5574312780601,-1.04886481629367
0.396,-2.323185307179633,2.535943910986382,-1.069800266043778
0.398,-2.303185307179633,2.514042160161204,-1.090301810151279
0.4,-2.283185307179633,2.491734785992876,-1.110361248271881
0.402,-2.263185307179633,2.469030711133639,-1.12997055689779
0.404,-2.243185307179633,2.445939016910719,-1.149121892567011
0.406,-2.223185307179633,2.42246893969392,-1.167807595000624
0.408,-2.203185307179633,2.398629867201199,-1.186020190166793
0.41,-2.183185307179633,2.374431334743703,-1.203752393270286
0.412,-2.163185307179633,2.349883021411772,-1.220997111666285
0.414,-2.143185307179633,2.324994746203431,-1.237747447697359
0.416,-2.123185307179633,2.299776464096926,-1.253996701452431
0.418,-2.103185307179633,2.27423826206886,-1.269738373446653
0.42,-2.083185307179633,2.248390355059538,-1.284966167221113
0.422,-2.063185307179633,2.222243081887131,-1.299673991861335
0.424,-2.043185307179633,2.195806901112282,-1.313855964433565
0.426,-2.023185307179633,2.169092386854823,-1.327506412337866
0.428,-2.003185307179633,2.142110224564269,-1.340619875577078
0.43,-1.983185307179633,2.114871206745777,-1.35319110894075
0.432,-1.963185307179633,2.087386228643294,-1.36521508410315
0.434,-1.943185307179633,2.059666283881599,-1.376686991634532
0.436,-1.923185307179633,2.031722460069002,-1.387602242924839
0.438,-1.903185307179633,2.00356593436245,-1.39795647201909
0.44,-1.883185307179633,1.975207968996808,-1.407745537363702
0.442,-1.863185307179633,1.946659906780123,-1.416965523463055
0.444,-1.843185307179633,1.917933166556645,-1.425612742445643
0.446,-1.823185307179633,1.889039238639446,-1.433683735539166
0.448,-1.803185307179633,1.859989680214446,-1.441175274454
0.45,-1.783185307179633,1.830796110717691,-1.448084362674463
0.452,-1.763185307179633,1.801470207187738,-1.454408236657388
0.454,-1.743185307179633,1.772023699594993,-1.460144366937498
0.456,-1.723185307179633,1.742468366149877,-1.465290459139163
0.458,-1.703185307179633,1.712816028591704,-1.469844454894115
0.46,-1.683185307179633,1.683078547460136,-1.473804532664771
0.462,-1.663185307179633,1.653267817351132,-1.477169108472824
0.464,-1.643185307179633,1.623395762159265,-1.479936836532811
0.466,-1.623185307179633,1.593474330308322,-1.48210660979041
0.468,-1.603185307179633,1.563515489972097,-1.483677560365248
0.47,-1.583185307179633,1.533531224287279,-1.484649059898041
0.472,-1.563185307179633,1.503533526560356,-1.485020719801929
0.474,-1.543185307179633,1.473534395470455,-1.484792391417906
0.476,-1.523185307179633,1.443545830270029,-1.483964166074281
0.478,-1.503185307179633,1.413579825985317,-1.482536375050149
0.48,-1.483185307179633,1.38364836861849,-1.480509589442882
0.482,-1.463185307179633,1.353763430353415,-1.4778846199397
0.484,-1.443185307179633,1.323936964766936,-1.474662516493406
0.486,-1.423185307179633,1.294180902047608,-1.470844567902415
0.488,-1.403185307179633,1.264507144223777,-1.466432301295261
0.49,-1.383185307179633,1.234927560402927,-1.461427481519755
0.492,-1.363185307179632,1.205453982024197,-1.455832110437079
0.494,-1.343185307179632,1.176098198125962,-1.449648426121062
0.496,-1.323185307179632,1.146871950630378,-1.442878901962982
0.498,-1.303185307179632,1.117786929646763,-1.435526245682242
0.5,-1.283185307179632,1.088854768795717,-1.427593398243322
0.502,-1.263185307179632,1.060087040555822,-1.419083532679426
0.504,-1.243185307179632,1.031495251634811,-1.410000052823318
0.506,-1.223185307179632,1.003090838367032,-1.400346591945827
0.508,-1.203185307179632,0.9748851621390725,-1.390127011302595
0.51,-1.183185307179632,0.9468895048453531,-1.379345398589618
0.512,-1.163185307179632,0.9191150643755206,-1.36800606630823
0.514,-1.143185307179632,0.891572950135442,-1.356113550040154
0.516,-1.123185307179632,0.8642741786035901,-1.343672606633332
0.518,-1.103185307179632,0.8372296689245989,-1.330688212299249
0.52,-1.083185307179632,0.8104502385417512,-1.317165560622518
0.522,-1.063185307179632,0.7839465988701459,-1.303110060483508
0.524,-1.043185307179632,0.7577293510122746,-1.288527333894871
0.526,-1.023185307179632,0.7318089815177217,-1.273423213752808
0.528,-1.003185307179632,0.7061958581886847,-1.257803741503992
0.53,-0.9831853071796322,0.6809002259329915,-1.241675164729064
0.532,-0.9631853071796321,0.6559322026662737,-1.225043934643691
0.534,-0.9431853071796321,0.6313017752649355,-1.207916703518158
0.536,-0.9231853071796321,0.607018795571536,-1.190300322016557
0.538,-0.9031853071796321,0.5830929764541841,-1.172201836456606
0.54,-0.8831853071796321,0.5595338879215198,-1.153628485991219
0.542,-0.863185307179632,0.5363509532948393,-1.134587699712941
0.544,-0.843185307179632,0.5135534454388916,-1.11508709368241
0.546,-0.823185307179632,0.4911504830528563,-1.095134467882032
0.548,-0.803185307179632,0.4691510270229857,-1.074737803096098
0.55,-0.783185307179632,0.4475638768383695,-1.053905257718568
0.552,-0.763185307179632,0.4263976670712568,-1.032645164489831
0.554,-0.7431853071796319,0.405660863923342,-1.010966027163715
