"time","joint_angle_1","joint_angle_2","joint_angle_3","joint_angle_4","joint_angle_5","joint_angle_6","ee_x","ee_y","ee_z"
0.46,43.25428040723185,-49.12228470057397,-6.077302569880216,25.0236357268265,-28.71025062350629,0,0.4243373374031384,-0.1481894116738497,0.7409953734282972
0.462,43.32718983561072,-49.18318665823612,-6.073375689763027,25.01845583479334,-28.71285523410032,0,0.4248985547424547,-0.1473088026863036,0.7407684794969037
0.464,43.39953925026134,-49.24353702141526,-6.069440422093492,25.01310149755895,-28.71527087976125,0,0.4254547107272473,-0.1464338813623839,0.7405429004588218
0.466,43.4713333206566,-49.30334114994557,-6.065497278049458,25.00757639427803,-28.71750107054783,0,0.4260058591675729,-0.145564615939743,0.7403186306635036
0.468,43.54257667240183,-49.36260434701762,-6.061546756972279,25.00188414791291,-28.71954926277716,0,0.4265520532032157,-0.1447009747197833,0.7400956644430835
0.47,43.613273887712,-49.4213318598382,-6.057589346619958,24.99602832602359,-28.72141885980077,0,0.4270933453131783,-0.1438429260707628,0.7398739961136521
0.472,43.68342950587557,-49.47952888028571,-6.053625523420179,24.99001244152591,-28.72311321277857,0,0.4276297873250186,-0.1429904384307794,0.7396536199765305
0.474,43.75304802372089,-49.53720054554799,-6.049655752705572,24.98383995346032,-28.72463562146356,0,0.4281614304239268,-0.1421434803106955,0.7394345303195048
0.476,43.82213389606869,-49.59435193876634,-6.045680488957154,24.97751426774402,-28.72598933495361,0,0.4286883251617719,-0.1413020202969094,0.7392167214179964
0.478,43.89069153618784,-49.6509880896558,-6.041700176030841,24.97103873792047,-28.72717755243824,0,0.4292105214659575,-0.1404660270540654,0.739000187536208
0.48,43.95872531623792,-49.70711397512652,-6.037715247388315,24.96441666587283,-28.72820342393495,0,0.4297280686481905,-0.1396354693276152,0.7387849229282661
0.482,44.02623956771376,-49.76273451989081,-6.033726126311755,24.95765130256113,-28.72907005101326,0,0.4302410154130824,-0.1388103159463336,0.7385709218392708
0.484,44.09323858187825,-49.8178545970687,-6.029733226125157,24.95074584874057,-28.72978048750443,0,0.4307494098666203,-0.1379905358247306,0.7383581785063393
0.486,44.15972661019531,-49.87247902877372,-6.025736950407407,24.94370345563242,-28.73033774018523,0,0.4312532995246333,-0.1371760979653075,0.7381466871596611
0.488,44.22570786475338,-49.92661258670614,-6.021737693194912,24.93652722564896,-28.73074476950459,0,0.4317527313208486,-0.1363669714608416,0.7379364420234605
0.49,44.29118651868519,-49.98025999273099,-6.017735839186959,24.92922021306361,-28.7310044902569,0,0.4322477516150468,-0.135563125496495,0.7377274373169666
0.492,44.35616670658508,-50.03342591944095,-6.013731763942738,24.92178542467519,-28.73111977222565,0,0.4327384062011558,-0.1347645293518557,0.7375196672553307
0.494,44.42065252491805,-50.08611499072878,-6.009725834074284,24.91422582049626,-28.73109344087803,0,0.4332247403149614,-0.1339711524029399,0.7373131260505185
0.496,44.48464803242548,-50.13833178233632,-6.005718407437866,24.90654431439089,-28.73092827798896,0,0.4337067986419674,-0.1331829641240643,0.7371078079121876
0.498,44.54815725052544,-50.19008082240642,-6.001709833317974,24.89874377472286,-28.73062702230324,0,0.4341846253249532,-0.1323999340896646,0.7369037070485457
0.5,44.61118416370929,-50.24136659202141,-5.997700452608817,24.89082702500479,-28.73019237014822,0,0.4346582639715272,-0.1316220319760608,0.7367008176671402
0.502,44.67373271993149,-50.29219352574007,-5.993690597992894,24.8827968445191,-28.72962697606957,0,0.4351277576614936,-0.1308492275631156,0.7364991339756762
0.504,44.73580683099659,-50.34256601212381,-5.989680594112168,24.8746559689352,-28.72893345346153,0,0.4355931489540791,-0.1300814907358443,0.7362986501828098
0.506,44.797410372941,-50.39248839425584,-5.985670757737521,24.86640709093426,-28.72811437512516,0,0.4360544798952719,-0.1293187914859575,0.7360993604988157
0.508,44.85854718641112,-50.44196497025742,-5.981661397936568,24.85805286080667,-28.7271722738964,0,0.4365117920247688,-0.1285610999133189,0.7359012591363651
0.51,44.9192210770347,-50.49099999379204,-5.977652816234666,24.84959588704422,-28.72610964322122,0,0.4369651263829812,-0.127808386227366,0.7357043403112171
0.512,44.979435815789,-50.53959767457111,-5.973645306776703,24.84103873693473,-28.72492893774447,0,0.4374145235178385,-0.1270606207484525,0.7355085982429022
0.514,45.03919513936474,-50.58776217884596,-5.969639156480041,24.83238393713566,-28.72363257386733,0,0.4378600234916055,-0.1263177739091278,0.7353140271553636
0.516,45.0985027505256,-50.63549762989808,-5.965634645188559,24.82363397425521,-28.72222293031693,0,0.4383016658874754,-0.1255798162553796,0.735120621277601
0.518,45.15736231846576,-50.68280810851368,-5.961632045815485,24.81479129540925,-28.72070234868358,0,0.438739489816197,-0.1248467184478073,0.7349283748442725
0.52,45.21577747915638,-50.72969765346996,-5.957631624499574,24.80585830877119,-28.71907313398124,0,0.4391735339224686,-0.1241184512627097,0.7347372820963251
0.522,45.27375183569625,-50.77617026199868,-5.953633640737419,24.7968373841466,-28.717337555167,0,0.4396038363913291,-0.1233949855932034,0.7345473372815062
0.524,45.33128895865251,-50.82222989025479,-5.949638347528637,24.78773085349178,-28.71549784570003,0,0.4400304349543315,-0.1226762924501955,0.7343585346549977
0.526,45.38839238640047,-50.86788045376812,-5.945645991511497,24.77854101144543,-28.71355620400422,0,0.4404533668959377,-0.1219623429633301,0.7341708684798883
0.528,45.44506562545627,-50.91312582790336,-5.941656813095552,24.76927011587493,-28.71151479404556,0,0.4408726690593077,-0.1212531083819621,0.7339843330277516
0.53,45.50131215080847,-50.95796984830387,-5.937671046593294,24.75992038838068,-28.70937574580532,0,0.4412883778524381,-0.1205485600759786,0.7337989225791286
0.532,45.55713540624478,-51.00241631133354,-5.933688920347722,24.75049401481834,-28.70714115577718,0,0.4417005292540419,-0.1198486695366393,0.7336146314240073
0.534,45.6125388046741,-51.04646897451271,-5.92971065685903,24.74099314579464,-28.70481308745089,0,0.4421091588193957,-0.1191534083773328,0.7334314538622989
0.536,45.66752572844732,-51.09013155694778,-5.925736472901438,24.73141989717971,-28.70239357182273,0,0.4425143016859375,-0.1184627483343501,0.7332493842043095
0.538,45.72209952967015,-51.13340773975755,-5.921766579650231,24.72177635058446,-28.69988460783776,0,0.4429159925790471,-0.1177766612675341,0.7330684167711656
0.54,45.77626353051588,-51.17630116649418,-5.917801182796687,24.71206455385834,-28.69728816288481,0,0.4433142658174739,-0.1170951191609597,0.7328885458952596
0.542,45.8300210235325,-51.21881544355754,-5.9138404826616,24.70228652156344,-28.69460617325017,0,0.4437091553188556,-0.1164180941235401,0.7327097659206515
0.544,45.88337527194639,-51.26095414060475,-5.909884674309202,24.69244423543729,-28.69184054456429,0,0.4441006946051523,-0.1157455583895768,0.7325320712034695
0.546,45.9363295099627,-51.3027207909569,-5.905933947658175,24.68253964487282,-28.68899315226723,0,0.4444889168078548,-0.1150774843193308,0.7323554561123071
0.548,45.98888694306451,-51.344118891997,-5.901988487585943,24.67257466738092,-28.68606584203911,0,0.4448738546732629,-0.1144138443995176,0.7321799150285697
0.55,46.04105074830351,-51.38515190556561,-5.898048474037484,24.66255118902958,-28.68306043023492,0,0.4452555405676552,-0.1137546112437572,0.7320054423468559
