"time","ee_y","joint_angle_2","joint_angle_3","joint_angle_6","joint_angle_5","joint_angle_4","ee_z","ee_x","joint_angle_1"
0.202,-0.3697655846546747,5.335514633841909,9.009763818868528,0,36.10389689687017,-36.18107637420457,0.7095231649437266,0.2065173212198891,-1.570480790187411
0.204,-0.3687874775631976,5.334388206472679,9.084680419186553,0,36.31678618064413,-36.40000762157226,0.7083312591364287,0.2075999170743292,-1.575793394328687
0.206,-0.3678125776680651,5.332618819988214,9.159058255071894,0,36.52780905046411,-36.61695090399698,0.7071426875424736,0.2086702814016946,-1.580707094525826
0.208,-0.3668409393019025,5.330219270421287,9.232901837034026,0,36.73698570403186,-36.83192818656646,0.7059575308708258,0.2097285458770308,-1.585228463026829
0.21,-0.3658726146533491,5.327202165534034,9.306215624330495,0,36.94433605918724,-37.04496112985645,0.7047758670494197,0.2107748406686468,-1.589364046395486
0.212,-0.3649076538300125,5.323579926646719,9.379004024991017,0,37.14987975887991,-37.25607109525384,0.7035977712915866,0.2118092944748685,-1.593120361294603
0.214,-0.3639461049189803,5.319364790515194,9.451271395927137,0,37.35363617613031,-37.46527915013407,0.7024233161609795,0.2128320345589211,-1.596503890583992
0.216,-0.3629880140456109,5.314568811254735,9.523022043159939,0,37.55562441874142,-37.67260607294443,0.701252571635355,0.2138431867815035,-1.59952107972956
0.218,-0.3620334254299763,5.309203862297046,9.594260222088367,0,37.75586333405594,-37.87807235814689,0.7000856051687905,0.2148428756318548,-1.602178333480723
0.22,-0.3610823814416537,5.303281638377102,9.66499013785989,0,37.95437151350537,-38.08169822109873,0.6989224817526237,0.2158312242568847,-1.604482012828711
0.222,-0.3601349226527051,5.296813657547231,9.735215945786535,0,38.15116729707056,-38.28350360278196,0.697763263975249,0.2168083544886632,-1.606438432205927
0.224,-0.3591910878887418,5.28981126321013,9.804941751807252,0,38.34626877770724,-38.48350817448785,0.6966080120802814,0.2177743868705823,-1.608053856918037
