"time","x_t","y_t","z_t","roll_t","pitch_t","yaw_t","q1","q2","q3","q4","q5","q6"
0.76,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.77,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.78,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.79,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.8,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.8100000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.8200000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.8300000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.84,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.85,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.86,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.87,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.88,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.89,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.9,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.91,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.92,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.93,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.9400000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.9500000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.96,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.97,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.98,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.99,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
1,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
